Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
PANASONIC,S-140PU2E5B/U-140PZ2R8,Approved,Non Ducted,Malaysia,4.34,14,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/59542c0c8dfe?text=PANASONICS-140PU2E5B/U-140PZ2R8
PANASONIC,S-140PT2E5B/U-140PZ2R8,Approved,Non Ducted,Malaysia,4.32,13.6,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=PANASONICS-140PT2E5B/U-140PZ2R8
PANASONIC,S-140PE1R5B/U-140PZ2R8,Approved,Ducted,Malaysia,4.44,14,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a336760589?text=PANASONICS-140PE1R5B/U-140PZ2R8
PANASONIC,S-140PF1E5B/U-140PZ2R8,Approved,Ducted,Malaysia,4.4,14,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=PANASONICS-140PF1E5B/U-140PZ2R8
TEMPERZONE,ISD570KB-P/OSA570RKTB,Approved,Ducted,New Zealand;Australia,16.8,54.97,R410A,Reverse Cycle,,http://via.placeholder.com/150/e351fcf7527c?text=TEMPERZONEISD570KB-P/OSA570RKTB
TEMPERZONE,ISD570KB/OSA570RKTB,Approved,Ducted,New Zealand;Australia,17.55,53.99,R410A,Reverse Cycle,,http://via.placeholder.com/150/f645c299919c28?text=TEMPERZONEISD570KB/OSA570RKTB
PANASONIC,S-71PU2E5B/U-71PE1R5A,Approved,Non Ducted,China,1.8,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a215a07de?text=PANASONICS-71PU2E5B/U-71PE1R5A
PANASONIC,S-60PU2E5B/U-60PE1R5A,Approved,Non Ducted,China,1.46,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff898dab82?text=PANASONICS-60PU2E5B/U-60PE1R5A
PANASONIC,S-100PU2E5B/U-100PE1R8A,Approved,Non Ducted,China,2.34,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e20?text=PANASONICS-100PU2E5B/U-100PE1R8A
PANASONIC,S-100PU2E5B/U-100PE1R5A,Approved,Non Ducted,China,2.34,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/26edd254fc509?text=PANASONICS-100PU2E5B/U-100PE1R5A
PANASONIC,S-125PU2E5B/U-125PE1R8A,Approved,Non Ducted,China,3.37,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e58aab409d92?text=PANASONICS-125PU2E5B/U-125PE1R8A
PANASONIC,S-140PU2E5B/U-140PE1R5A,Approved,Non Ducted,China,4.24,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/19886d4fcd64?text=PANASONICS-140PU2E5B/U-140PE1R5A
PANASONIC,S-140PU2E5B/U-140PE1R8A,Approved,Non Ducted,China,4.24,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/06c161133b68?text=PANASONICS-140PU2E5B/U-140PE1R8A
PANASONIC,S-60PT2E5B/U-60PE1R5A,Approved,Non Ducted,China,1.49,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f62455ca7c44?text=PANASONICS-60PT2E5B/U-60PE1R5A
