Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
United Kingdom,14/01/2015,0,0,1,1,0,0,0,0
Sierra Leone,15/01/2015,2061,287,7802,10150,158,208,2701,3067
Liberia,15/01/2015,3394,1841,3127,8362,0,0,0,3556
United States of America,15/01/2015,0,0,4,4,0,0,1,1
Mali,15/01/2015,0,1,7,8,0,0,0,6
Spain,15/01/2015,0,0,1,1,0,0,0,0
Guinea,15/01/2015,11,284,2522,2817,0,284,1537,1821
United Kingdom,15/01/2015,0,0,1,1,0,0,0,0
Nigeria,15/01/2015,0,1,19,20,0,1,7,8
Senegal,15/01/2015,0,0,1,1,0,0,0,0
Spain,16/01/2015,0,0,1,1,0,0,0,0
Nigeria,16/01/2015,0,1,19,20,0,1,7,8
Guinea,16/01/2015,12,288,2525,2825,0,288,1541,1829
Mali,16/01/2015,0,1,7,8,0,0,0,6
Senegal,16/01/2015,0,0,1,1,0,0,0,0
Liberia,16/01/2015,3394,1841,3127,8362,0,0,0,3556
United States of America,16/01/2015,0,0,4,4,0,0,1,1
Sierra Leone,16/01/2015,2074,287,7825,10186,158,208,2717,3083
United Kingdom,16/01/2015,0,0,1,1,0,0,0,0
Nigeria,19/01/2015,0,1,19,20,0,1,7,8
Liberia,19/01/2015,3454,1850,3131,8435,0,0,0,3587
United Kingdom,19/01/2015,0,0,1,1,0,0,0,0
Spain,19/01/2015,0,0,1,1,0,0,0,0
Guinea,19/01/2015,15,319,2539,2873,0,319,1556,1875
Sierra Leone,19/01/2015,2136,287,7883,10306,158,208,2766,3132
Senegal,19/01/2015,0,0,1,1,0,0,0,0
United States of America,19/01/2015,0,0,4,4,0,0,1,1
Mali,19/01/2015,0,1,7,8,0,0,0,6
Spain,20/01/2015,0,0,1,1,0,0,0,0
United Kingdom,20/01/2015,0,0,1,1,0,0,0,0
Senegal,20/01/2015,0,0,1,1,0,0,0,0
Nigeria,20/01/2015,0,1,19,20,0,1,7,8
Liberia,20/01/2015,3489,1854,3135,8478,0,0,0,3605
Guinea,20/01/2015,13,319,2539,2871,0,319,1557,1876
Mali,20/01/2015,0,1,7,8,0,0,0,6
United States of America,20/01/2015,0,0,4,4,0,0,1,1
Sierra Leone,20/01/2015,2150,287,7903,10340,158,208,2779,3145
Sierra Leone,21/01/2015,2150,287,7903,10340,158,208,2779,3145
Nigeria,21/01/2015,0,1,19,20,0,1,7,8
Liberia,21/01/2015,3489,1854,3135,8478,0,0,0,3605
Spain,21/01/2015,0,0,1,1,0,0,0,0
Mali,21/01/2015,0,1,7,8,0,0,0,6
Senegal,21/01/2015,0,0,1,1,0,0,0,0
United States of America,21/01/2015,0,0,4,4,0,0,1,1
Guinea,21/01/2015,13,319,2539,2871,0,319,1557,1876
United Kingdom,21/01/2015,0,0,1,1,0,0,0,0
Liberia,22/01/2015,3534,1854,3136,8524,0,0,0,3636
Senegal,22/01/2015,0,0,1,1,0,0,0,0
